# timestamps [seconds],pts
38836.139766,1174627
38836.171925,1176735
38836.203929,1178832
38836.239796,1181182
38836.271869,1183284
38836.307684,1185632
38836.339781,1187735
38836.371715,1189828
38836.407831,1192195
38836.439842,1194292
38836.471953,1196397
38836.507704,1198740
38836.539738,1200839
38836.575826,1203204
38836.607887,1205305
38836.639874,1207402
38836.676018,1209770
38836.707875,1211858
38836.739770,1213948
38836.775882,1216315
38836.808023,1218421
38836.843771,1220764
38836.875728,1222858
38836.907847,1224963
38836.944008,1227333
38836.975885,1229422
38837.007928,1231522
38837.186036,1243194
38837.333286,1252844
38837.431141,1259257
38837.454556,1260792
38837.479850,1262449
38837.511826,1264545
38837.543831,1266642
38837.579751,1268996
38837.611788,1271096
38837.647887,1273462
38837.679967,1275564
38837.711778,1277649
38837.747717,1280004
38837.779691,1282100
38837.815869,1284470
38837.848138,1286585
38837.879837,1288663
38837.915810,1291020
38837.947729,1293112
38837.979723,1295209
38838.015835,1297575
38838.047870,1299675
38838.083830,1302031
38838.116005,1304140
38838.147737,1306219
38838.184020,1308597
38838.215847,1310683
38838.248043,1312793
38838.283876,1315141
38838.315795,1317233
38838.351997,1319606
38838.383995,1321703
38838.415910,1323794
38838.451896,1326152
38838.483869,1328248
38838.515844,1330343
38838.552201,1332726
38838.583978,1334808
38838.619803,1337156
38838.652210,1339280
38838.683766,1341348
38838.719825,1343711
38838.751806,1345807
38838.783855,1347907
38838.819751,1350260
38838.851725,1352355
38838.887772,1354718
38838.919974,1356828
38838.952071,1358931
38838.987749,1361270
38839.019735,1363366
38839.052092,1365486
38839.088021,1367841
38839.119891,1369930
38839.155764,1372280
38839.187700,1374373
38839.219781,1376476
38839.255850,1378840
38839.287945,1380943
38839.323823,1383294
38839.355761,1385387
38839.387828,1387489
38839.423843,1389849
38839.455923,1391951
38839.487854,1394044
38839.523641,1396389
38839.555837,1398499
38839.591887,1400862
38839.623867,1402958
38839.655883,1405056
38839.691707,1407403
38839.723738,1409503
38839.755785,1411603
38839.791995,1413976
38839.823892,1416066
38839.859697,1418413
38839.891781,1420515
38839.923709,1422608
38839.959861,1424977
38839.991872,1427075
38840.024046,1429183
38840.060173,1431551
38840.091744,1433620
38840.127894,1435989
38840.159902,1438087
38840.191969,1440188
38840.227776,1442535
38840.259784,1444632
38840.291756,1446728
38840.327883,1449095
38840.360420,1451228
38840.395745,1453543
38840.427772,1455641
38840.461204,1457832
38840.495834,1460102
38840.528506,1462243
38840.559782,1464293
38840.595800,1466653
38840.627766,1468748
38840.663790,1471109
38840.695776,1473205
38840.727826,1475306
38840.763742,1477659
38840.795722,1479755
38840.831868,1482124
38840.863725,1484212
38840.895751,1486310
38840.931753,1488670
38840.963720,1490765
38840.995600,1492854
38841.032049,1495243
38841.063816,1497325
38841.099729,1499678
38841.131759,1501777
38841.163692,1503870
38841.199857,1506240
38841.231796,1508333
38841.263866,1510435
38841.299775,1512788
38841.331729,1514882
38841.367854,1517250
38841.399782,1519342
38841.434966,1521648
38841.467701,1523793
38841.499693,1525890
38841.531779,1527993
38841.567867,1530358
38841.599898,1532457
38841.635797,1534809
38841.667703,1536900
38841.699732,1538999
38841.735838,1541366
38841.767878,1543465
38841.799830,1545559
38841.835815,1547918
38841.867726,1550009
38841.903877,1552378
38841.935875,1554475
38841.967862,1556571
38842.004114,1558947
38842.036119,1561045
38842.067791,1563120
38842.103905,1565487
38842.135949,1567587
38842.171817,1569937
38842.203795,1572033
38842.235719,1574125
38842.271871,1576495
38842.303854,1578591
38842.335879,1580689
38842.371731,1583039
38842.403803,1585141
38842.439857,1587503
38842.471844,1589600
38842.503989,1591706
38842.539699,1594047
38842.571985,1596162
38842.607833,1598512
38842.639854,1600610
38842.671825,1602706
38842.707736,1605059
38842.739792,1607160
38842.771794,1609257
38842.807819,1611618
38842.839857,1613717
38842.875768,1616071
38842.907798,1618170
38842.939781,1620266
38842.975900,1622633
38843.007884,1624729
38843.039882,1626826
38843.075797,1629180
38843.107802,1631277
38843.143860,1633640
38843.175840,1635736
38843.207899,1637837
38843.243779,1640189
38843.275761,1642284
38843.307763,1644382
38843.343828,1646745
38843.375801,1648841
38843.411774,1651198
38843.443796,1653297
38843.475835,1655396
38843.512028,1657768
38843.543855,1659854
38843.575847,1661951
38843.611831,1664309
38843.643782,1666403
38843.679849,1668766
38843.711828,1670862
38843.743833,1672960
38843.779722,1675312
38843.811713,1677408
38843.843730,1679506
38843.879811,1681871
38843.911970,1683978
38843.947773,1686325
38843.979994,1688436
38844.011782,1690520
38844.047951,1692890
38844.079850,1694980
38844.115824,1697338
38844.147795,1699433
38844.179714,1701525
38844.215860,1703894
38844.247830,1705989
38844.279973,1708095
38844.315787,1710443
38844.347844,1712543
38844.383886,1714905
38844.415857,1717001
38844.447888,1719100
38844.483885,1721459
38844.515880,1723556
38844.548077,1725666
38844.583859,1728011
38844.615842,1730107
38844.651810,1732464
38844.683802,1734560
38844.715710,1736652
38844.771529,1740310
38844.794904,1741841
38844.818329,1743377
38844.851802,1745570
38844.883730,1747663
38844.919834,1750029
38844.951934,1752132
38844.983865,1754225
38845.019716,1756575
38845.051816,1758678
38845.083755,1760771
38845.120164,1763157
38845.151933,1765239
38845.187671,1767581
38845.219734,1769683
38845.251819,1771785
38845.287872,1774148
38845.319897,1776247
38845.351869,1778342
38845.387814,1780698
38845.419703,1782788
38845.455948,1785163
