# timestamps [seconds],pts
4377.715837,2219397
4377.748807,2221558
4377.782821,2223787
4377.818318,2226114
4377.849488,2228156
4377.883496,2230385
4377.916430,2232543
4377.950810,2234796
4377.983971,2236970
4378.017482,2239166
4378.051559,2241399
4378.084338,2243547
4378.117782,2245739
4378.151631,2247957
4378.184489,2250111
4378.218967,2252370
4378.252182,2254547
4378.285618,2256738
4378.319221,2258940
4378.352322,2261109
4378.386355,2263340
4378.419801,2265532
4378.454011,2267774
4378.486897,2269929
4378.520706,2272145
4378.554791,2274378
4378.588490,2276587
4378.620807,2278705
4378.654363,2280904
4378.687888,2283101
4378.721937,2285332
4378.755349,2287522
4378.790771,2289843
4378.822220,2291904
4378.855595,2294091
4378.888770,2296266
4378.922477,2298475
4378.955690,2300651
4378.990154,2302910
4379.024411,2305155
4379.057489,2307323
4379.091712,2309565
4379.124455,2311711
4379.157808,2313897
4379.191372,2316097
4379.225432,2318329
4379.259264,2320546
4379.293585,2322795
4379.326069,2324924
4379.359364,2327106
4379.392835,2329300
4379.426351,2331496
4379.460126,2333709
4379.493540,2335899
4379.527283,2338111
4379.560928,2340315
4379.595308,2342569
4379.629452,2344806
4379.661119,2346882
4379.695264,2349119
4379.728360,2351288
4379.762093,2353499
4379.798685,2355897
4379.828620,2357859
4379.862784,2360098
4379.896410,2362301
4379.929881,2364495
4379.963498,2366698
4379.996992,2368893
4380.031176,2371133
4380.064557,2373321
4380.097428,2375475
4380.131313,2377696
4380.164786,2379889
4380.198367,2382090
4380.232712,2384341
4380.266046,2386525
4380.299154,2388695
4380.332630,2390889
4380.366184,2393088
4380.399628,2395280
4380.433754,2397516
4380.466818,2399683
4380.500295,2401877
4380.534639,2404128
4380.568030,2406316
4380.601710,2408523
4380.635002,2410705
4380.668736,2412916
4380.701692,2415075
4380.735107,2417265
4380.768194,2419434
4380.804426,2421808
4380.835632,2423853
4380.869140,2426049
4380.902346,2428225
4380.935789,2430417
4380.974914,2432981
4381.006166,2435029
4381.039812,2437234
4381.077039,2439674
4381.106748,2441621
