pupil_timestamp,world_index,eye_id,confidence,norm_pos_x,norm_pos_y,diameter,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,projected_sphere_angle
24130.231315,264,0,0.8531646800206927,0.3936882124135915,0.27606092173630936,88.59563984552244,3d c++,251.96045594469854,347.4907575665715,68.6020090233323,88.59563984552244,18.906819601274194,5.208241870868962,1.0,1,1.836763076415339,10.270189197402594,46.84132545277077,12.0,-4.147445889949214,6.389301058308939,37.19104305800509,-0.4986840805303795,-0.32340734492447126,-0.8041901995638059,2.604120935434481,1.241468189303145,-2.125869437631886,344.311718260956,375.9380256822548,317.6682097735092,317.6682097735092,90.0
24130.267483,265,0,0.931112045392996,0.3934614480538424,0.2765469989280669,88.09009365960385,3d c++,251.81532675445916,347.2574405145279,68.12990040291926,88.09009365960385,19.001690694908632,5.180188091981258,1.0,1,1.836763076415339,10.270189197402594,46.84132545277077,12.0,-4.156552503067199,6.377632819205042,37.20139945682632,-0.4994429649568782,-0.32437969818312934,-0.8033271663287035,2.590094045990629,1.2404404332988541,-2.1270320754168437,344.311718260956,375.9380256822548,317.6682097735092,317.6682097735092,90.0
24130.299445,266,0,0.8915118357882883,0.39323385716586523,0.2761190022078204,87.87510261153923,3d c++,251.66966858615376,347.46287894024624,67.93278136410937,87.87510261153923,18.875181269401068,5.167320123260136,1.0,1,1.836763076415339,10.270189197402594,46.84132545277077,12.0,-4.165070334066899,6.390406347136012,37.20154948298825,-0.5001527842068532,-0.3233152375222152,-0.8033146641485431,2.583660061630068,1.2415655260665015,-2.1276760780791872,344.311718260956,375.9380256822548,317.6682097735092,317.6682097735092,90.0
24130.331652,267,0,0.293502679535522,0.3783215839336638,0.27159543165972155,79.73005182912053,3d c++,242.12581371754482,349.63419280333363,58.25154842845848,79.73005182912053,16.53349831618938,4.724611937537499,1.0,1,1.836763076415339,10.270189197402594,46.84132545277077,12.0,-4.769296892379755,6.5894842669768785,37.52400915976972,-0.5505049973995911,-0.3067254108688096,-0.7764430244167541,2.3623059687687493,1.2590456347893135,-2.1875429631810173,344.311718260956,375.9380256822548,317.6682097735092,317.6682097735092,90.0
24130.363260000002,268,0,0.2588224725514977,0.3711913618330144,0.2785536853559202,78.92857395254539,3d c++,237.56247157312922,346.2942310291583,55.313065725744835,78.92857395254539,17.534368283429757,4.715125378775868,1.0,1,1.836763076415339,10.270189197402594,46.84132545277077,12.0,-5.083687058016549,6.43738982517066,37.81818747814907,-0.576704177869324,-0.3193999476859945,-0.7519281645518081,2.357562689387934,1.2457001275264503,-2.2250682517995317,344.311718260956,375.9380256822548,317.6682097735092,317.6682097735092,90.0
24130.395488000002,268,0,0.028351326034570305,0.3704074425478636,0.27523221980184764,78.61477114545106,3d c++,237.06076323063272,347.8885344951131,55.07505346726142,78.61477114545106,16.749711259701584,4.692736595445951,1.0,1,1.836763076415339,10.270189197402594,46.84132545277077,12.0,-5.111715181767812,6.532552985847344,37.79982527605081,-0.5790398548485959,-0.3114696842962708,-0.7534583480599963,2.3463682977229756,1.2540570663806532,-2.2260386193687474,344.311718260956,375.9380256822548,317.6682097735092,317.6682097735092,90.0
24130.427413,269,0,0.0887373441892079,0.36717268737247,0.2729893705219879,79.97883798925439,3d c++,234.99051991838078,348.9651021494458,55.19235072599021,79.97883798925439,16.038019657933134,4.782211623351242,1.0,1,1.836763076415339,10.270189197402594,46.84132545277077,12.0,-5.250735620897171,6.610620271931891,37.876119515631196,-0.5906248914427092,-0.30496407712255863,-0.7471004947616311,2.391105811675621,1.2608956174429424,-2.239752238435676,344.311718260956,375.9380256822548,317.6682097735092,317.6682097735092,90.0
24130.46338,270,0,0.9134009983946101,0.3730666274357829,0.2735780600084625,86.21171219228509,3d c++,238.76264155890104,348.682531195938,61.226398095860226,86.21171219228509,16.62314359292914,5.133131795418829,1.0,1,1.836763076415339,10.270189197402594,46.84132545277077,12.0,-5.007336292947773,6.556466273159385,37.71079612177172,-0.5703416141135927,-0.3094769103536007,-0.7608774442499205,2.5665658977094146,1.2561534391413691,-2.2140311894953815,344.311718260956,375.9380256822548,317.6682097735092,317.6682097735092,90.0
24130.49538,271,0,0.95761334964243,0.3734118258760094,0.2729188435090054,85.78051455994307,3d c++,238.98356856064603,348.9989551156774,61.07146478960906,85.78051455994307,16.500109814589834,5.1047233208072305,1.0,1,1.836763076415339,10.270189197402594,46.84132545277077,12.0,-4.990758486999686,6.573053275206538,37.69167325862096,-0.5689601302845855,-0.30809466018300463,-0.7624710161791506,2.5523616604036152,1.2576067084016018,-2.2118645834519266,344.311718260956,375.9380256822548,317.6682097735092,317.6682097735092,90.0
24130.527959,271,0,0.9975343815987551,0.37378700134396736,0.2735405565936607,85.88298694988235,3d c++,239.2236808601391,348.70053283504285,61.21818036452378,85.88298694988235,16.66641145775911,5.110675375729398,1.0,1,1.836763076415339,10.270189197402594,46.84132545277077,12.0,-4.975771882597996,6.553999918497033,37.688221898480094,-0.5677112465844446,-0.30968243990879674,-0.7627586295242227,2.555337687864699,1.2559372909845548,-2.210631005797888,344.311718260956,375.9380256822548,317.6682097735092,317.6682097735092,90.0
